,depth_sqrt,error_sqrt,depth_log2,error_log2,depth_auto,error_auto
0,5,0.2841610981227316,5,0.29361263195236487,5,0.25260541397741854
1,10,0.2711661123404041,10,0.27918217887858066,10,0.24580633090987003
2,15,0.2710129503954821,15,0.2820950796741508,15,0.24440660914563117
3,20,0.2703385913832065,20,0.2812768830813187,20,0.24967916877670304
4,25,0.26795996986692816,25,0.282224574220713,25,0.2494241399099837
5,30,0.26795996986692816,30,0.282224574220713,30,0.2494241399099837
6,35,0.26795996986692816,35,0.282224574220713,35,0.2494241399099837
7,40,0.26795996986692816,40,0.282224574220713,40,0.2494241399099837
8,45,0.26795996986692816,45,0.282224574220713,45,0.2494241399099837
9,50,0.26795996986692816,50,0.282224574220713,50,0.2494241399099837
